Time (s),Distance (cm)
24.1,34.320144244904675
24.2,34.320144244904675
24.3,34.320144244904675
24.4,34.320144244904675
24.5,34.66730668904584
24.6,34.66730668904584
24.7,34.66730668904584
24.8,34.66730668904584
24.9,34.66730668904584
25.0,34.66730668904584
25.1,34.7367394253988
25.2,34.7367394253988
25.3,34.7367394253988
25.4,34.7367394253988
25.5,35.01447117953196
25.6,35.01447117953196
25.7,35.08551385571172
25.8,35.08551385571172
25.9,35.08551385571172
26.0,35.08551385571172
26.1,35.293804243272696
26.2,35.293804243272696
26.3,35.293804243272696
26.4,35.293804243272696
26.5,35.432664952323115
26.6,35.432664952323115
26.7,35.432664952323115
26.8,35.432664952323115
26.9,35.432664952323115
27.0,35.432664952323115
27.1,35.432664952323115
27.2,35.64095668137809
27.3,35.64095668137809
27.4,35.64095668137809
27.5,35.64095668137809
27.6,35.64095668137809
27.7,35.64095668137809
27.8,35.64095668137809
27.9,35.64095668137809
28.0,35.64095668137809
28.1,35.64095668137809
28.2,35.64095668137809
28.3,35.64095668137809
28.4,35.64095668137809
28.5,35.64095668137809
28.6,35.64095668137809
28.7,35.64095668137809
28.8,35.64095668137809
28.9,35.64095668137809
29.0,35.64095668137809
29.1,35.64095668137809
29.2,35.64095668137809
29.3,35.64095668137809
29.4,35.64095668137809
